"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2019",5.158916,
"AUT","HUR","TOT","PC_LF","A","2019",4.841667,
"BEL","HUR","TOT","PC_LF","A","2019",5.441667,
"CAN","HUR","TOT","PC_LF","A","2019",5.733333,
"CZE","HUR","TOT","PC_LF","A","2019",2.016667,
"DNK","HUR","TOT","PC_LF","A","2019",5.025,
"FIN","HUR","TOT","PC_LF","A","2019",6.741667,
"FRA","HUR","TOT","PC_LF","A","2019",8.433333,
"DEU","HUR","TOT","PC_LF","A","2019",2.975,
"GRC","HUR","TOT","PC_LF","A","2019",17.88333,
"HUN","HUR","TOT","PC_LF","A","2019",3.3,
"ISL","HUR","TOT","PC_LF","A","2019",3.933333,
"IRL","HUR","TOT","PC_LF","A","2019",4.975,
"ITA","HUR","TOT","PC_LF","A","2019",9.933333,
"JPN","HUR","TOT","PC_LF","A","2019",2.35,
"KOR","HUR","TOT","PC_LF","A","2019",3.783333,
"LUX","HUR","TOT","PC_LF","A","2019",5.591667,
"MEX","HUR","TOT","PC_LF","A","2019",3.490462,
"NLD","HUR","TOT","PC_LF","A","2019",4.433333,
"NZL","HUR","TOT","PC_LF","A","2019",4.1,
"NOR","HUR","TOT","PC_LF","A","2019",3.875,
"POL","HUR","TOT","PC_LF","A","2019",3.308333,
"PRT","HUR","TOT","PC_LF","A","2019",6.675,
"SVK","HUR","TOT","PC_LF","A","2019",5.716667,
"ESP","HUR","TOT","PC_LF","A","2019",14.10833,
"SWE","HUR","TOT","PC_LF","A","2019",6.975,
"CHE","HUR","TOT","PC_LF","A","2019",4.394452,
"TUR","HUR","TOT","PC_LF","A","2019",13.74167,
"GBR","HUR","TOT","PC_LF","A","2019",3.825,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
"CHL","HUR","TOT","PC_LF","A","2019",7.22264,
"EST","HUR","TOT","PC_LF","A","2019",4.483333,
"ISR","HUR","TOT","PC_LF","A","2019",3.8,
"SVN","HUR","TOT","PC_LF","A","2019",4.441667,
"OECD","HUR","TOT","PC_LF","A","2019",5.420724,"E"
"G-7","HUR","TOT","PC_LF","A","2019",4.26474,"E"
"EA19","HUR","TOT","PC_LF","A","2019",7.616667,
"LVA","HUR","TOT","PC_LF","A","2019",6.316667,
"LTU","HUR","TOT","PC_LF","A","2019",6.283333,
"COL","HUR","TOT","PC_LF","A","2019",10.37083,
"EU27_2020","HUR","TOT","PC_LF","A","2019",6.825,
"CRI","HUR","TOT","PC_LF","A","2019",11.75539,
